pl_name,hostname,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,discoverymethod,disc_year,disc_facility
11 Com b,11 Com,1.29,0.231,6165.6,12.1,Radial Velocity,2007,Xinglong Station
11 UMi b,11 UMi,1.53,0.08,4684.8142,12.3,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
14 And b,14 And,0.83,0.0,1525.5,12.9,Radial Velocity,2008,Okayama Astrophysical Observatory
14 Her b,14 Her,2.774,0.373,2559.47216,12.6,Radial Velocity,2002,W. M. Keck Observatory
16 Cyg B b,16 Cyg B,1.66,0.68,565.7374,13.5,Radial Velocity,1996,Multiple Observatories
17 Sco b,17 Sco,1.45,0.06,1373.01872,12.9,Radial Velocity,2020,Lick Observatory
18 Del b,18 Del,2.6,0.08,3273.5,12.5,Radial Velocity,2008,Okayama Astrophysical Observatory
24 Boo b,24 Boo,0.19,0.042,289.2253,13.9,Radial Velocity,2018,Okayama Astrophysical Observatory
24 Sex b,24 Sex,1.333,0.09,632.46,13.4,Radial Velocity,2010,Lick Observatory
24 Sex c,24 Sex,2.08,0.29,273.32,13.9,Radial Velocity,2010,Lick Observatory
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.92,0.33,603.877,13.4,Eclipse Timing Variations,2015,Kepler
30 Ari B b,30 Ari B,0.99,0.29,4392.4106,12.3,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
4 UMa b,4 UMa,0.87,0.432,2256.5,12.7,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg
42 Dra b,42 Dra,1.19,0.38,1233.13,13.0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg
47 UMa b,47 UMa,2.1,0.032,804.08,13.2,Radial Velocity,1996,Lick Observatory
47 UMa c,47 UMa,3.6,0.098,171.621,14.2,Radial Velocity,2001,Lick Observatory
47 UMa d,47 UMa,11.6,0.16,521.22,13.5,Radial Velocity,2009,Lick Observatory
51 Eri b,51 Eri,13.2,0.45,635.66,13.4,Imaging,2015,Gemini Observatory
51 Peg b,51 Peg,0.0527,0.013,146.2018,14.3,Radial Velocity,1995,Haute-Provence Observatory
55 Cnc b,55 Cnc,0.1134,0.0,263.9785,13.9,Radial Velocity,1996,Lick Observatory
55 Cnc c,55 Cnc,0.2373,0.03,54.4738,8.51,Radial Velocity,2004,McDonald Observatory
55 Cnc d,55 Cnc,5.957,0.13,1232.493,13.0,Radial Velocity,2002,Lick Observatory
55 Cnc e,55 Cnc,0.01544,0.05,7.99,1.875,Radial Velocity,2004,McDonald Observatory
55 Cnc f,55 Cnc,0.7708,0.08,44.812,7.59,Radial Velocity,2007,Multiple Observatories
6 Lyn b,6 Lyn,2.11,0.073,638.8383,13.4,Radial Velocity,2008,Okayama Astrophysical Observatory
61 Vir b,61 Vir,0.050201,0.12,5.1,2.11,Radial Velocity,2009,Multiple Observatories
61 Vir c,61 Vir,0.2175,0.14,18.2,4.46,Radial Velocity,2009,Multiple Observatories
61 Vir d,61 Vir,0.476,0.35,22.9,5.11,Radial Velocity,2009,Multiple Observatories
7 CMa b,7 CMa,1.758,0.06,587.9855,13.4,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa c,7 CMa,2.153,0.08,276.5121,13.9,Radial Velocity,2019,Multiple Observatories
70 Vir b,70 Vir,0.481,0.3988,2380.45,12.6,Radial Velocity,1996,Lick Observatory
75 Cet b,75 Cet,2.1,0.117,953.49,13.1,Radial Velocity,2012,Okayama Astrophysical Observatory
8 UMi b,8 UMi,0.49,0.06,416.3573,13.6,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory
81 Cet b,81 Cet,2.5,0.206,1684.4,12.8,Radial Velocity,2008,Okayama Astrophysical Observatory
91 Aqr b,91 Aqr,0.7,0.027,1017.0,13.1,Radial Velocity,2013,Lick Observatory
AB Aur b,AB Aur,93.9,0.4,2860.45566,12.5,Imaging,2022,Subaru Telescope
AF Lep b,AF Lep,8.4,0.24,1017.0509,13.1,Imaging,2023,Paranal Observatory
AU Mic b,AU Mic,0.0645,0.186,20.12,4.07,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,0.1101,0.041,9.6,3.24,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
BD+03 2562 b,BD+03 2562,1.3,0.2,2034.112,12.7,Radial Velocity,2017,Multiple Observatories
BD+14 4559 b,BD+14 4559,0.78,0.29,330.5432,13.8,Radial Velocity,2009,McDonald Observatory
BD+15 2375 b,BD+15 2375,0.576,0.001,337.21763,13.8,Radial Velocity,2016,Roque de los Muchachos Observatory
BD+15 2940 b,BD+15 2940,0.539,0.26,352.78,13.7,Radial Velocity,2013,McDonald Observatory
BD+20 2457 b,BD+20 2457,1.45,0.15,6807.63,12.1,Radial Velocity,2009,McDonald Observatory
BD+20 2457 c,BD+20 2457,2.01,0.18,3963.17,12.4,Radial Velocity,2009,McDonald Observatory
BD+20 274 b,BD+20 274,1.3,0.21,1334.886,13.0,Radial Velocity,2012,McDonald Observatory
BD+20 594 b,BD+20 594,0.241,0.0,22.2481,2.578,Transit,2016,K2
BD+45 564 b,BD+45 564,0.83,0.12,432.24663,13.6,Radial Velocity,2021,Haute-Provence Observatory
BD+48 738 b,BD+48 738,1.0,0.2,289.2253,13.9,Radial Velocity,2011,McDonald Observatory
BD+48 740 b,BD+48 740,1.7,0.76,540.311,13.5,Radial Velocity,2018,Multiple Observatories
BD+49 828 b,BD+49 828,4.2,0.35,508.5,13.5,Radial Velocity,2015,McDonald Observatory
BD+55 362 b,BD+55 362,0.78,0.27,228.83645,14.0,Radial Velocity,2021,Haute-Provence Observatory
BD+63 1405 b,BD+63 1405,2.06,0.88,3305.41543,12.4,Radial Velocity,2021,Haute-Provence Observatory
BD-00 4475 b,BD-00 4475,1.48,0.39,7961.6016,12.0,Radial Velocity,2021,Haute-Provence Observatory
BD-06 1339 b,BD-06 1339,0.0428,0.0,8.5,2.85,Radial Velocity,2013,La Silla Observatory
BD-06 1339 c,BD-06 1339,0.435,0.31,53.0,8.38,Radial Velocity,2013,La Silla Observatory
BD-08 2823 b,BD-08 2823,0.06,0.15,12.7132,3.61,Radial Velocity,2009,La Silla Observatory
BD-08 2823 c,BD-08 2823,0.68,0.19,104.0,12.5,Radial Velocity,2009,La Silla Observatory
BD-10 3166 b,BD-10 3166,0.04,0.02,187.5197,14.1,Radial Velocity,2000,W. M. Keck Observatory
BD-11 4672 b,BD-11 4672,2.36,0.05,206.5895,14.1,Radial Velocity,2014,La Silla Observatory
BD-11 4672 c,BD-11 4672,0.3,0.4,15.37,4.04,Radial Velocity,2020,Roque de los Muchachos Observatory
BD-13 2130 b,BD-13 2130,1.66,0.21,3108.3774,12.5,Radial Velocity,2007,La Silla Observatory
BD-17 63 b,BD-17 63,1.34,0.54,1620.9,12.8,Radial Velocity,2008,La Silla Observatory
BD-210397 b,BD-210397,2.63,0.1,214.0,14.0,Radial Velocity,2023,La Silla Observatory
BD-210397 c,BD-210397,5.9,0.1,759.0,13.3,Radial Velocity,2023,La Silla Observatory
CoRoT-1 b,CoRoT-1,0.02752,0.0,327.35,16.7,Transit,2008,CoRoT
CoRoT-10 b,CoRoT-10,0.1055,0.53,874.0,10.87,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,0.0436,0.0,740.51,16.03,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,0.04016,0.07,291.438,16.14,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,0.051,0.0,415.704,9.92,Transit,2010,CoRoT
CoRoT-14 b,CoRoT-14,0.027,0.0,2415.4,12.22,Transit,2010,CoRoT
CoRoT-16 b,CoRoT-16,0.0618,0.33,170.032,13.11,Transit,2011,CoRoT
CoRoT-17 b,CoRoT-17,0.0461,0.0,772.29,11.43,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,0.0295,0.08,1102.82,14.68,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,0.0518,0.047,352.78,14.46,Transit,2011,CoRoT
CoRoT-2 b,CoRoT-2,0.02798,0.0143,1102.82,16.432,Transit,2008,CoRoT
CoRoT-20 b,CoRoT-20,0.09,0.59,1366.669,9.416,Transit,2011,CoRoT
CoRoT-20 c,CoRoT-20,2.9,0.6,5403.11,12.2,Radial Velocity,2018,Multiple Observatories
CoRoT-21 b,CoRoT-21,0.0417,0.0,718.2958,14.572,Transit,2012,CoRoT
CoRoT-22 b,CoRoT-22,0.092,0.077,12.2,4.88,Transit,2014,CoRoT
CoRoT-23 b,CoRoT-23,0.048,0.16,889.9,11.77,Transit,2011,CoRoT
CoRoT-24 b,CoRoT-24,0.056,0.0,5.7,3.7,Transit,2014,CoRoT
CoRoT-24 c,CoRoT-24,0.098,0.0,28.0,5.0,Transit,2014,CoRoT
CoRoT-25 b,CoRoT-25,0.0578,0.0,85.81,12.11,Transit,2013,CoRoT
CoRoT-26 b,CoRoT-26,0.0526,0.0,165.26,14.12,Transit,2013,CoRoT
CoRoT-27 b,CoRoT-27,0.0476,0.065,3302.11,11.287,Transit,2014,CoRoT
CoRoT-28 b,CoRoT-28,0.0603,0.047,153.82972,10.705,Transit,2015,CoRoT
CoRoT-29 b,CoRoT-29,0.0386,0.082,270.1555,10.088,Transit,2015,CoRoT
CoRoT-3 b,CoRoT-3,0.05783,0.0,6883.91,11.32,Transit,2008,CoRoT
CoRoT-30 b,CoRoT-30,0.0844,0.007,921.707,11.31,Transit,2020,CoRoT
CoRoT-31 b,CoRoT-31,0.0586,0.02,266.9772,16.365,Transit,2020,CoRoT
CoRoT-35 b,CoRoT-35,0.0429,0.0,349.61125,18.831,Transit,2022,CoRoT
CoRoT-36 b,CoRoT-36,0.066,0.0,216.12332,15.805,Transit,2022,CoRoT
CoRoT-4 b,CoRoT-4,0.09,0.0,228.83,13.34,Transit,2008,CoRoT
CoRoT-5 b,CoRoT-5,0.04947,0.09,148.42,15.558,Transit,2009,CoRoT
CoRoT-6 b,CoRoT-6,0.0855,0.1,940.74,13.068,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,0.017016,0.0,4.07661,1.681,Transit,2009,CoRoT
CoRoT-7 c,CoRoT-7,0.046,0.0,8.4,2.83,Radial Velocity,2009,CoRoT
CoRoT-8 b,CoRoT-8,0.063,0.0,69.92,6.39,Transit,2010,CoRoT
CoRoT-9 b,CoRoT-9,0.4021,0.133,266.9772,11.949,Transit,2009,CoRoT
DE CVn b,DE CVn,5.75,0.0,3823.2733,12.4,Eclipse Timing Variations,2018,Multiple Facilities
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.36,0.345,9057.77,11.9,Astrometry,2013,Paranal Observatory
DMPP-1 b,DMPP-1,0.1462,0.083,24.27,5.29,Radial Velocity,2019,La Silla Observatory
DMPP-1 c,DMPP-1,0.0733,0.057,9.6,3.06,Radial Velocity,2019,La Silla Observatory
DMPP-1 d,DMPP-1,0.0422,0.07,3.35,1.65,Radial Velocity,2019,La Silla Observatory
DMPP-1 e,DMPP-1,0.0651,0.07,4.13,1.86,Radial Velocity,2019,La Silla Observatory
DMPP-2 b,DMPP-2,0.0664,0.078,138.89171,14.3,Radial Velocity,2019,Multiple Facilities
DMPP-3 A b,DMPP-3 A,0.0662,0.14,2.58,1.41,Radial Velocity,2019,La Silla Observatory
DP Leo b,DP Leo,8.19,0.39,1995.88832,12.7,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory
EPIC 201170410.02,EPIC 201170410,0.0349,0.0,1.15,1.047,Transit,2020,K2
EPIC 201757695.02,EPIC 201757695,0.0296,0.0,0.688,0.908,Transit,2020,K2
EPIC 211822797 b,EPIC 211822797,0.1195,0.06,4.35,1.92,Transit,2016,K2
EPIC 211945201 b,EPIC 211945201,0.1493,0.0,27.0,5.76,Transit,2018,K2
EPIC 212737443 b,EPIC 212737443,0.098,0.2,7.2,2.586,Transit,2019,K2
EPIC 212737443 c,EPIC 212737443,0.28,0.2,7.7,2.69,Transit,2019,K2
EPIC 220674823 b,EPIC 220674823,0.01326,0.0,8.21,1.725,Transit,2016,K2
EPIC 220674823 c,EPIC 220674823,0.1083,0.13,8.9,2.836,Transit,2016,K2
EPIC 229004835 b,EPIC 229004835,0.1237,0.23,10.4,2.332,Transit,2023,K2
EPIC 248847494 b,EPIC 248847494,4.5,0.0,4131.79,12.442,Transit,2018,K2
EPIC 249893012 b,EPIC 249893012,0.047,0.06,8.75,1.95,Transit,2020,K2
EPIC 249893012 c,EPIC 249893012,0.13,0.07,14.67,3.67,Transit,2020,K2
EPIC 249893012 d,EPIC 249893012,0.22,0.15,10.18,3.94,Transit,2020,K2
G 9-40 b,G 9-40,0.0385,0.0,11.7,2.025,Transit,2019,K2
GJ 1061 b,GJ 1061,0.021,0.31,1.37,1.1,Radial Velocity,2020,La Silla Observatory
GJ 1061 c,GJ 1061,0.035,0.29,1.74,1.18,Radial Velocity,2020,La Silla Observatory
GJ 1061 d,GJ 1061,0.054,0.53,1.64,1.16,Radial Velocity,2020,La Silla Observatory
GJ 1132 b,GJ 1132,0.0153,0.22,1.66,1.13,Transit,2015,Cerro Tololo Inter-American Observatory
GJ 1132 c,GJ 1132,0.0476,0.27,2.64,1.43,Radial Velocity,2018,La Silla Observatory
GJ 1148 b,GJ 1148,0.166,0.38,96.7,11.9,Radial Velocity,2010,W. M. Keck Observatory
GJ 1148 c,GJ 1148,0.912,0.342,68.06,9.71,Radial Velocity,2017,Calar Alto Observatory
GJ 1214 b,GJ 1214,0.0149,0.063,8.17,2.742,Transit,2009,MEarth Project
GJ 1252 b,GJ 1252,0.00915,0.0,1.32,1.193,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265 b,GJ 1265,0.026,0.04,7.4,2.63,Radial Velocity,2018,Calar Alto Observatory
GJ 143 b,GJ 143,0.1915,0.188,22.7,2.61,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A b,GJ 15 A,0.072,0.094,3.03,1.55,Radial Velocity,2014,W. M. Keck Observatory
GJ 15 A c,GJ 15 A,5.4,0.27,36.0,6.67,Radial Velocity,2018,Roque de los Muchachos Observatory
GJ 160.2 b,GJ 160.2,0.053,0.06,10.2,3.17,Radial Velocity,2014,Multiple Observatories
GJ 163 b,GJ 163,0.0607,0.073,10.6,3.25,Radial Velocity,2013,La Silla Observatory
GJ 163 c,GJ 163,0.1254,0.099,6.8,2.5,Radial Velocity,2013,La Silla Observatory
GJ 163 d,GJ 163,1.0304,0.373,29.4,5.92,Radial Velocity,2013,La Silla Observatory
GJ 179 b,GJ 179,2.41,0.21,301.93699,13.8,Radial Velocity,2009,W. M. Keck Observatory
GJ 180 b,GJ 180,0.092,0.07,6.49,2.43,Radial Velocity,2014,Multiple Observatories
GJ 180 c,GJ 180,0.129,0.09,6.4,2.41,Radial Velocity,2014,Multiple Observatories
GJ 180 d,GJ 180,0.309,0.14,7.56,2.66,Radial Velocity,2020,Multiple Facilities
GJ 2030 b,GJ 2030,0.034,0.239,4.76743,2.03,Radial Velocity,2022,Multiple Observatories
GJ 2030 c,GJ 2030,16.761,0.041,4069.15709,12.3,Radial Velocity,2022,Multiple Observatories
GJ 2056 b,GJ 2056,0.283,0.72,16.2,4.17,Radial Velocity,2020,Multiple Observatories
GJ 229 A c,GJ 229,0.384,0.366,8.58137,2.87,Radial Velocity,2020,Multiple Facilities
GJ 229 b,GJ 229,1.086,0.404,14.93794,3.97,Radial Velocity,2014,Multiple Observatories
GJ 251 b,GJ 251,0.0818,0.1,4.0,1.83,Radial Velocity,2020,W. M. Keck Observatory
GJ 27.1 b,GJ 27.1,0.101,0.08,13.0,3.66,Radial Velocity,2014,Multiple Observatories
GJ 273 b,GJ 273,0.091101,0.1,2.89,1.51,Radial Velocity,2017,La Silla Observatory
GJ 273 c,GJ 273,0.036467,0.17,1.18,1.06,Radial Velocity,2017,La Silla Observatory
GJ 3021 b,GJ 3021,0.49,0.511,1071.04,13.1,Radial Velocity,2000,La Silla Observatory
